condition_profile_schema_version,session_id,run_id,app_id,condition,capture_source,condition_duration_seconds,total_ip_packets,total_ip_bytes,packets_per_second,ip_bytes_per_second,scheduled_window_count,active_window_count,active_window_fraction,longest_quiet_duration_seconds,time_to_first_packet_seconds,packet_statistics_available,ip_size_mean,ip_size_stddev,ip_size_min,ip_size_max,ip_size_median,ip_size_q1,ip_size_q3,outbound_packet_count,inbound_packet_count,unknown_packet_count,outbound_packet_fraction,inbound_packet_fraction,unknown_packet_fraction,iat_mean,iat_stddev,iat_median,iat_min,iat_max,tcp_packet_fraction,udp_packet_fraction,other_transport_fraction
1,chrome_exploratory_run01_retry02_control,chrome_exploratory_run01_retry02,chrome,device_control,pcapdroid_vpn_boundary_auxiliary,60,26,5373,0.43333333333333335,89.549999999999997,12,2,0.16666666666666666,30,13.224641602664306,true,206.65384615384616,296.490620205467,40,1331,54,40,226.25,13,13,0,0.5,0.5,0,0.53092139244079595,2.5557364786180448,0.00055599212646484375,3.1948089599609375e-05,13.051179885864258,0.92307692307692313,0.076923076923076927,0
1,chrome_exploratory_run01_retry02_foreground,chrome_exploratory_run01_retry02,chrome,foreground,pcapdroid_vpn_boundary_auxiliary,119.99999999999997,1021,310284,8.5083333333333346,2585.7000000000007,24,23,0.95833333333333337,5,0.020720445588864322,true,303.90205680705191,593.81326536965526,40,6225,64,40,179,521,500,0,0.51028403525954946,0.48971596474045054,0,0.1161637500220654,0.60887494241187745,0.00068247318267822266,6.9141387939453125e-06,7.4683880805969238,0.62095984329089127,0.37904015670910873,0
1,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,120,275,180300,2.2916666666666665,1502.5,24,6,0.25,50,15.912041486269175,true,655.63636363636363,885.84204140131556,40,5640,130,51.5,1278,132,143,0,0.47999999999999998,0.52000000000000002,0,0.37824002147591029,3.7323735175059265,0.00022387504577636719,8.8214874267578125e-06,56.286902904510498,0.46181818181818179,0.53818181818181821,0
