window_start_s,window_end_s,condition,packet_count,packets_per_second,ip_bytes_per_second,ip_size_mean,outbound_packet_fraction,iat_mean,tcp_fraction,udp_fraction
9.0566868780000007,14.056686878000001,foreground,563,112.59999999999999,77874.600000000006,691.60390763765542,0.47779751332149201,0.0084396104371420432,0.59857904085257552,0.40142095914742454
14.056686878000001,19.056686878000001,foreground,2311,462.19999999999999,466380.79999999999,1009.0454348766767,0.3682388576373864,0.0019837896545211991,0.41237559498052789,0.58762440501947211
19.056686878000001,24.056686878000001,foreground,45,9,13473,1497,0.55555555555555558,0.070429276336323135,0.66666666666666663,0.33333333333333331
24.056686878000001,29.056686878000001,foreground,10,2,105.40000000000001,52.700000000000003,0.40000000000000002,0.22462211714850533,0.40000000000000002,0.59999999999999998
29.056686878000001,34.056686878000001,foreground,453,90.599999999999994,199979.60000000001,2207.2803532008829,0.39955849889624723,0.0044011969481949258,0.9668874172185431,0.033112582781456956
34.056686878000001,39.056686878000001,foreground,926,185.19999999999999,769013.19999999995,4152.3390928725703,0.40064794816414689,0.0030642756900271855,0.99136069114470837,0.0086393088552915772
39.056686878000001,44.056686878000001,foreground,253,50.600000000000001,15692,310.11857707509881,0.48616600790513836,0.017321861925579253,0.7351778656126482,0.2648221343873518
44.056686878000001,49.056686878000001,foreground,91,18.199999999999999,7995.8000000000002,439.32967032967031,0.53846153846153844,0.020570577515496149,0.63736263736263732,0.36263736263736263
49.056686878000001,54.056686878000001,foreground,1274,254.80000000000001,651549.80000000005,2557.1028257456828,0.47645211930926218,0.0037866474040736389,0.90894819466248034,0.091051805337519623
54.056686878000001,59.056686878000001,foreground,709,141.80000000000001,257291,1814.4640338504937,0.49929478138222849,0.0057023756921628097,0.97461212976022571,0.025387870239774329
59.056686878000001,64.056686877999994,foreground,149,29.800000000000043,40141.40000000006,1347.0268456375838,0.43624161073825501,0.021268878434155439,0.67114093959731547,0.32885906040268459
