feature_schema_version,sample_id,session_id,app_id,run_id,activity_state,capture_source,capture_reference,window_start_s,window_end_s,synthetic_test_only,pilot,packet_count,total_ip_bytes,packets_per_second,ip_bytes_per_second,ip_size_mean,ip_size_stddev,ip_size_min,ip_size_max,ip_size_median,ip_size_q1,ip_size_q3,outbound_packet_count,inbound_packet_count,unknown_packet_count,outbound_ip_bytes,inbound_ip_bytes,unknown_ip_bytes,outbound_packet_fraction,inbound_packet_fraction,unknown_packet_fraction,outbound_byte_fraction,inbound_byte_fraction,unknown_byte_fraction,iat_mean,iat_stddev,iat_median,iat_min,iat_max,tcp_packet_fraction,udp_packet_fraction,other_transport_fraction
1,chrome_pilot_run01_fg_0,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,9.0566868780000007,14.056686878000001,false,true,563,389373,112.59999999999999,77874.600000000006,691.60390763765542,1155.6909297780403,40,8728,79,40,1273,269,294,0,43848,345525,0,0.47779751332149201,0.52220248667850799,0,0.11261181437850082,0.88738818562149913,0,0.0084396104371420432,0.054401904225156505,0.00035357475280761719,5.9604644775390625e-06,1.0818421840667725,0.59857904085257552,0.40142095914742454,0
1,chrome_pilot_run01_fg_1,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,14.056686878000001,19.056686878000001,false,true,2311,2331904,462.19999999999999,466380.79999999999,1009.0454348766767,1634.9794963137097,40,10000,552,60,1278,851,1460,0,203777,2128127,0,0.3682388576373864,0.6317611423626136,0,0.087386530491821282,0.91261346950817868,0,0.0019837896545211991,0.012572018759974131,0.000164031982421875,5.9604644775390625e-06,0.47030496597290039,0.41237559498052789,0.58762440501947211,0
1,chrome_pilot_run01_fg_2,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,19.056686878000001,24.056686878000001,false,true,45,67365,9,13473,1497,2553.9410938999968,40,10000,285,40,1488,25,20,0,10203,57162,0,0.55555555555555558,0.44444444444444442,0,0.15145847250055666,0.84854152749944334,0,0.070429276336323135,0.20572613270540088,0.00020349025726318359,1.6927719116210938e-05,1.1651971340179443,0.66666666666666663,0.33333333333333331,0
1,chrome_pilot_run01_fg_3,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,24.056686878000001,29.056686878000001,false,true,10,527,2,105.40000000000001,52.700000000000003,11.1,40,79,52.5,43,57,4,6,0,211,316,0,0.40000000000000002,0.59999999999999998,0,0.40037950664136623,0.59962049335863377,0,0.22462211714850533,0.51172817561874007,0.03458094596862793,0.00060606002807617188,1.6660430431365967,0.40000000000000002,0.59999999999999998,0
1,chrome_pilot_run01_fg_4,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,29.056686878000001,34.056686878000001,false,true,453,999898,90.599999999999994,199979.60000000001,2207.2803532008829,3307.5423498446371,40,10000,128,40,2936,181,272,0,15858,984040,0,0.39955849889624723,0.60044150110375272,0,0.015859617681003461,0.98414038231899659,0,0.0044011969481949258,0.026414794727312847,0.00017595291137695312,1.5020370483398438e-05,0.4904022216796875,0.9668874172185431,0.033112582781456956,0
1,chrome_pilot_run01_fg_5,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,34.056686878000001,39.056686878000001,false,true,926,3845066,185.19999999999999,769013.19999999995,4152.3390928725703,4513.2162859259906,40,10000,1488,40,10000,371,555,0,26119,3818947,0,0.40064794816414689,0.59935205183585316,0,0.0067928612928880808,0.99320713870711197,0,0.0030642756900271855,0.019304233614936748,0.00021195411682128906,9.7751617431640625e-06,0.48718500137329102,0.99136069114470837,0.0086393088552915772,0
1,chrome_pilot_run01_fg_6,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,39.056686878000001,44.056686878000001,false,true,253,78460,50.600000000000001,15692,310.11857707509881,690.76781602995766,40,5418,48,40,136,123,130,0,31197,47263,0,0.48616600790513836,0.51383399209486169,0,0.39761661993372421,0.60238338006627579,0,0.017321861925579253,0.11512763696466539,0.00051903724670410156,1.4066696166992188e-05,1.4528770446777344,0.7351778656126482,0.2648221343873518,0
1,chrome_pilot_run01_fg_7,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,44.056686878000001,49.056686878000001,false,true,91,39979,18.199999999999999,7995.8000000000002,439.32967032967031,733.33643771321863,40,3993,72,40,552,49,42,0,15551,24428,0,0.53846153846153844,0.46153846153846156,0,0.38897921408739589,0.61102078591260411,0,0.020570577515496149,0.089142328519686717,0.00062394142150878906,1.1920928955078125e-05,0.60614109039306641,0.63736263736263732,0.36263736263736263,0
1,chrome_pilot_run01_fg_8,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,49.056686878000001,54.056686878000001,false,true,1274,3257749,254.80000000000001,651549.80000000005,2557.1028257456828,3826.9928363110057,40,10000,132,40,3469.5,607,667,0,70911,3186838,0,0.47645211930926218,0.52354788069073788,0,0.021766870314441043,0.97823312968555898,0,0.0037866474040736389,0.046892110744641571,0.00015091896057128906,5.0067901611328125e-06,1.324084997177124,0.90894819466248034,0.091051805337519623,0
1,chrome_pilot_run01_fg_9,chrome_pilot_run01_fg,chrome,chrome_pilot_run01_20260814T0400Z,foreground,pcapdroid_vpn_boundary_auxiliary,1892bc8c5288b1246d952d15c761195a0b3588e3e174002197c14e2cfec52f60,54.056686878000001,59.056686878000001,false,true,709,1286455,141.80000000000001,257291,1814.4640338504937,3108.3320064379636,40,10000,120,40,2291,354,355,0,43303,1243152,0,0.49929478138222849,0.50070521861777151,0,0.03366071879700417,0.96633928120299584,0,0.0057023756921628097,0.065454029062376476,0.00019288063049316406,4.0531158447265625e-06,1.2136061191558838,0.97461212976022571,0.025387870239774329,0
