session_id,app_id,run_id,state,capture_file,capture_sha256,capture_source,start_offset_s,end_offset_s,include,synthetic_test_only,pilot
chrome_exploratory_run01_retry02_control,chrome,chrome_exploratory_run01_retry02,device_control,capture.pcap,27f9f528f60b58205b5ed013eb570aedefcd7fdf1f89343ee481976c750db5cd,pcapdroid_vpn_boundary_auxiliary,47.146763522,107.146763522,true,false,true
chrome_exploratory_run01_retry02_foreground,chrome,chrome_exploratory_run01_retry02,foreground,capture.pcap,27f9f528f60b58205b5ed013eb570aedefcd7fdf1f89343ee481976c750db5cd,pcapdroid_vpn_boundary_auxiliary,154.770659483,274.770659483,true,false,true
chrome_exploratory_run01_retry02_background,chrome,chrome_exploratory_run01_retry02,background,capture.pcap,27f9f528f60b58205b5ed013eb570aedefcd7fdf1f89343ee481976c750db5cd,pcapdroid_vpn_boundary_auxiliary,312.442868649,432.442868649,true,false,true
