window_id,session_id,run_id,app_id,condition,capture_source,start_s,end_s,duration_s,status,has_packets,packet_count,total_ip_bytes,packets_per_second,ip_bytes_per_second,schema_v1_features_available,ip_size_mean,outbound_packet_fraction,iat_mean,tcp_packet_fraction,udp_packet_fraction
chrome_exploratory_run01_retry02_background_0,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,312.44286864899999,317.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_1,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,317.44286864899999,322.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_2,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,322.44286864899999,327.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_3,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,327.44286864899999,332.44286864899999,5,observed_nonempty,true,28,13223,5.5999999999999996,2644.5999999999999,true,472.25,0.42857142857142855,0.012036403020222982,0,1
chrome_exploratory_run01_retry02_background_4,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,332.44286864899999,337.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_5,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,337.44286864899999,342.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_6,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,342.44286864899999,347.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_7,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,347.44286864899999,352.44286864899999,5,observed_nonempty,true,1,40,0.20000000000000001,8,true,40,0,0,1,0
chrome_exploratory_run01_retry02_background_8,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,352.44286864899999,357.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_9,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,357.44286864899999,362.44286864899999,5,observed_nonempty,true,222,161828,44.399999999999999,32365.599999999999,true,728.95495495495493,0.48648648648648651,0.0046816379236419813,0.45945945945945948,0.54054054054054057
chrome_exploratory_run01_retry02_background_10,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,362.44286864899999,367.44286864899999,5,observed_nonempty,true,2,80,0.40000000000000002,16,true,40,0.5,0.000408172607421875,1,0
chrome_exploratory_run01_retry02_background_11,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,367.44286864899999,372.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_12,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,372.44286864899999,377.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
chrome_exploratory_run01_retry02_background_13,chrome_exploratory_run01_retry02_background,chrome_exploratory_run01_retry02,chrome,background,pcapdroid_vpn_boundary_auxiliary,377.44286864899999,382.44286864899999,5,observed_empty,false,0,0,0,0,false,,,,,
